Unnamed: 0,*出处ISBN/AS-ID,*页码,被拆解语句,*事件名【主体名+动词+客体名（地点名）】,*事件ID,*起始日期（YYYY/MM/DD）,结束日期（YYYY/MM/DD）,时间备注（非公历纪年，无年份信息）,*地点,*地点ID,*主体人物/组织,*主体ID,客体人物/组织,客体ID,关系,人物备注,谓词,事件类型,作品,作品ID,作品备注,会议,会议ID,会议备注,其他说明
,7010021562,111,出席在宁冈县茅坪谢氏慎公祠召开的中共湘赣边界第一次代表大会。大会讨论并提出了发展党的组织、深入土地革命、巩团和扩大红军和革命根据地等任务。大会通过毛泽东所作的报告，并选举产生了中共湘赣边界第一届特别委员会，毛泽东为书记，陈毅为候补常委。随后，改选工农革命军第四军军委书记，由陈毅接任。,陈毅出席中共湘赣边界第一次代表大会（宁冈县）,620,1929-05-20 00:00:00.000000000,1929-05-22,,宁冈县,610.0,陈毅,agent_person/7993,,,,,参加,会议,,,,,Un2,中共湘赣边界第一次代表大会,
,7010021562,111,出席在宁冈县茅坪谢氏慎公祠召开的中共湘赣边界第一次代表大会。大会讨论并提出了发展党的组织、深入土地革命、巩团和扩大红军和革命根据地等任务。大会通过毛泽东所作的报告，并选举产生了中共湘赣边界第一届特别委员会，毛泽东为书记，陈毅为候补常委。随后，改选工农革命军第四军军委书记，由陈毅接任。,陈毅任红四军军委书记（宁冈县）,2548,1929-05-20 00:00:00.000000000,1929-05-22,,宁冈县,610.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,134,"在龙岩城公民小学主持召开中共红四军第七次代表大会。会议就红四军党内长期存在的建军思想和建军原则的分歧进行了讨论,通过了由陈毅起草的《红军第七次代表大会决议案》。",陈毅起草《红军第七次代表大会决议案》（龙岩市）,1325,1929-06-22 00:00:00.000000000,,,龙岩市,731.0,陈毅,agent_person/7993,,,,,创作,,,Un1,红军第七次代表大会决议案,,,,
,7010021562,134,"在龙岩城公民小学主持召开中共红四军第七次代表大会。会议就红四军党内长期存在的建军思想和建军原则的分歧进行了讨论,通过了由陈毅起草的《红军第七次代表大会决议案》。",中共红四军第七次代表大会通过陈毅起草的《 红军第七次代表大会决议案》（龙岩市）,2286,1929-06-22 00:00:00.000000000,,,龙岩市,731.0,陈毅,agent_person/7993,,,,,主持,会议,,,,,Un2,中共红四军第七次代表大会,
,7010021562,135-136,按中央指示和前委决定，赴上海参加中央召开的军事会议及汇报红四军的情况。行前，专程到蛟洋征询毛泽东意见，并请毛复职，主持前委工作。由于种种原因，毛未如其愿。,陈毅按中央指示赴上海汇报红四军情况（龙岩市）,2434,1929-08-01 00:00:00.000000000,,1929年8月上旬,龙岩市,731.0,陈毅,agent_person/7993,,,,,汇报,,,,,,,,
,7010021562,135-136,按中央指示和前委决定，赴上海参加中央召开的军事会议及汇报红四军的情况。行前，专程到蛟洋征询毛泽东意见，并请毛复职，主持前委工作。由于种种原因，毛未如其愿。,陈毅按中央指示赴上海参加军事会议（龙岩市）,759,1929-08-01 00:00:00.000000000,,1929年8月上旬,龙岩市,731.0,陈毅,,,,,,参加,会议,,,,,,,
,7010021562,135-136,按中央指示和前委决定，赴上海参加中央召开的军事会议及汇报红四军的情况。行前，专程到蛟洋征询毛泽东意见，并请毛复职，主持前委工作。由于种种原因，毛未如其愿。,朱德派陈毅赴蛟洋请毛泽东复职（松源镇）,1424,1929-08-01 00:00:00.000000000,,1929年8月上旬,松源镇,776.0,陈毅,agent_person/7993,毛泽东,agent_person/8176,同事,,联系,,,,,,,,
,7010021562,137,陈毅写完了中央所要求写的5个书面材料：《关于朱德、毛泽东红军的历史及其状况的报告》、《关于朱、毛红军的党务概况报告》、《关于朱、毛争论问题的报告》、《关于赣南、闽西、粤东江农运及党的发展情况的报告》和《前委对中央提出的意见——对全国军事运动的意见及四军本身的问题》。,陈毅撰写《前委对中央提出的意见——对全国军事运动的意见及四军本身的问题》（上海市）,2429,1929-09-01 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,,,,,创作,,,Un1,前委对中央提出的意见——对全国军事运动的意见及四军本身的问题,,,,
,7010021562,137,陈毅写完了中央所要求写的5个书面材料：《关于朱德、毛泽东红军的历史及其状况的报告》、《关于朱、毛红军的党务概况报告》、《关于朱、毛争论问题的报告》、《关于赣南、闽西、粤东江农运及党的发展情况的报告》和《前委对中央提出的意见——对全国军事运动的意见及四军本身的问题》。,陈毅撰写《关于赣南、闽西、粤东江农运及党的发展情况的报告》（上海市）,2430,1929-09-01 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,,,,,创作,,,Un1,关于赣南、闽西、粤东江农运及党的发展情况的报告,,,,
,7010021562,137,陈毅写完了中央所要求写的5个书面材料：《关于朱德、毛泽东红军的历史及其状况的报告》、《关于朱、毛红军的党务概况报告》、《关于朱、毛争论问题的报告》、《关于赣南、闽西、粤东江农运及党的发展情况的报告》和《前委对中央提出的意见——对全国军事运动的意见及四军本身的问题》。,陈毅撰写《关于朱、毛争论问题的报告》（上海市）,2433,1929-09-01 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,,,,,创作,,,Un1,关于朱、毛争论问题的报告,,,,
,7010021562,137,陈毅写完了中央所要求写的5个书面材料：《关于朱德、毛泽东红军的历史及其状况的报告》、《关于朱、毛红军的党务概况报告》、《关于朱、毛争论问题的报告》、《关于赣南、闽西、粤东江农运及党的发展情况的报告》和《前委对中央提出的意见——对全国军事运动的意见及四军本身的问题》。,陈毅撰写《关于朱、毛红军的党务概况报告》（上海市）,2432,1929-09-01 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,,,,,创作,,,Un1,关于朱、毛红军的党务概况报告,,,,
,7010021562,137,陈毅写完了中央所要求写的5个书面材料：《关于朱德、毛泽东红军的历史及其状况的报告》、《关于朱、毛红军的党务概况报告》、《关于朱、毛争论问题的报告》、《关于赣南、闽西、粤东江农运及党的发展情况的报告》和《前委对中央提出的意见——对全国军事运动的意见及四军本身的问题》。,陈毅撰写《关于朱德、毛泽东红军的历史及其状况的报告》（上海市）,2431,1929-09-01 00:00:00.000000000,,,上海市,375.0,陈毅,agent_person/7993,,,,,创作,,,Un1,关于朱德、毛泽东红军的历史及其状况的报告,,,,
,7010021562,137,中央政治局讨论通过由三人委员会集体研究、陈毅起草、经周恩来审定的《中共中央给红军第四军前委的指示信》（即“九月来信”）。,中央政治局讨论通过陈毅起草的“九月来信”（上海市）,770,1929-09-28 00:00:00.000000000,,,上海市,375.0,中央政治局,agent_corporate_entity/2517,陈毅,agent_person/7993,,,指示,,,Un1,中共中央给红军第四军前委的指示信,,,,
,7010021562,141,中共红四军第九次代表大会在福建上杭古田的溪背村曙光小学召开。大会由陈毅主持。会议改选了前委，选举毛泽东、朱德、陈毅、李任予、黄益善、罗荣桓、林彪、伍中豪、谭震林、宋裕和、田桂祥11人为前委正式委员，杨岳彬、熊寿祺、李长寿3人为候补委员，毛泽东为书记。,陈毅主持古田会议（古田县）,794,1929-12-28 00:00:00.000000000,1929-12-29,,古田县,797.0,陈毅,agent_person/7993,,,,,主持,会议,,,,古田会议,1929,,
